SamplingPeriod,Assets,Locations,Hospitals,Date,Your reference number,Date isolate sent,Date isolate received (QEHB use only),Positive isolate ID (QEHB use only),Freezer box location,Test result,Users
End,B2W-FGTK,lhch-ITU,Z,15-Dec-2014,B2W-FGTK,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-Q133,lhch-ITU,Z,15-Dec-2014,B2W-Q133,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-QQ7J,lhch-ITU,Z,15-Dec-2014,B2W-QQ7J,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-QPV9C,lhch-ITU,Z,15-Dec-2014,B2W-QPV9C,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-QPV9H,lhch-ITU,Z,15-Dec-2014,B2W-QPV9H,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-QC5L,lhch-ITU,Z,15-Dec-2014,B2W-QC5L,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-MV57,lhch-ITU,Z,15-Dec-2014,B2W-MV57,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-LFN7,lhch-ITU,Z,15-Dec-2014,B2W-LFN7,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-N65N,lhch-ITU,Z,15-Dec-2014,B2W-N65N,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-N5ZMC,lhch-ITU,Z,15-Dec-2014,B2W-N5ZMC,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-N5ZMH,lhch-ITU,Z,15-Dec-2014,B2W-N5ZMH,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-LRG5,lhch-ITU,Z,15-Dec-2014,B2W-LRG5,,,,,P.aeruginosa NOT isolated,Z2
End,B2W-PFNV,lhch-ITU,Z,15-Dec-2014,B2W-PFNV,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-C375,rluh-ITU,Z,15-Dec-2014,D6L-C375,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-8LN9,rluh-ITU,Z,15-Dec-2014,D6L-8LN9,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-857Q,rluh-ITU,Z,15-Dec-2014,D6L-857Q,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-7FR5,rluh-ITU,Z,17-Dec-2014,136361,07-Jan-2015,08-Jan-2015,6929281,7.2,Pseudomonas isolated,Z2
End,D6L-930H,rluh-ITU,Z,15-Dec-2014,D6L-930H,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-X0JZ,rluh-ITU,Z,17-Dec-2014,136359,07-Jan-2015,08-Jan-2015,6929280,7.1,Pseudomonas isolated,Z2
End,16A,rluh-ITU,Z,15-Dec-2014,16A,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-9QC9C,rluh-ITU,Z,15-Dec-2014,D6L-9QC9C,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-9QC9H,rluh-ITU,Z,15-Dec-2014,D6L-9QC9H,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-CFGX,rluh-ITU,Z,15-Dec-2014,D6L-CFGX,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-D72B,rluh-ITU,Z,17-Dec-2014,136357,07-Jan-2015,08-Jan-2015,6929279,6.81,Pseudomonas isolated,Z2
End,ITU-4.4,rluh-ITU,Z,15-Dec-2014,ITU-4.4,,,,,P.aeruginosa NOT isolated,Z2
End,ITU-4.3,rluh-ITU,Z,15-Dec-2014,ITU-4.3,,,,,P.aeruginosa NOT isolated,Z2
End,ITU-4.2,rluh-ITU,Z,15-Dec-2014,ITU-4.2,,,,,P.aeruginosa NOT isolated,Z2
End,ITU-4.1,rluh-ITU,Z,15-Dec-2014,ITU-4.1,,,,,P.aeruginosa NOT isolated,Z2
End,ITU-6.6,rluh-ITU,Z,15-Dec-2014,ITU-6.6,,,,,P.aeruginosa NOT isolated,Z2
End,ITU-6.5,rluh-ITU,Z,15-Dec-2014,ITU-6.5,,,,,P.aeruginosa NOT isolated,Z2
End,ITU-6.4,rluh-ITU,Z,15-Dec-2014,ITU-6.4,,,,,P.aeruginosa NOT isolated,Z2
End,ITU-6.3,rluh-ITU,Z,15-Dec-2014,ITU-6.3,,,,,P.aeruginosa NOT isolated,Z2
End,ITU-6.2,rluh-ITU,Z,15-Dec-2014,ITU-6.2,,,,,P.aeruginosa NOT isolated,Z2
End,ITU-6.1,rluh-ITU,Z,15-Dec-2014,ITU-6.1,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-QS6W,rluh-ITU,Z,15-Dec-2014,D6L-QS6W,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-RQKS,rluh-ITU,Z,17-Dec-2014,136355,07-Jan-2015,08-Jan-2015,6929278,6.80,Pseudomonas isolated,Z2
End,D6L-S1B0,rluh-ITU,Z,15-Dec-2014,D6L-S1B0,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-2NVNC,rluh-ITU,Z,15-Dec-2014,D6L-2NVNC,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-2NVNH,rluh-ITU,Z,15-Dec-2014,D6L-2NVNH,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-2NN9,rluh-ITU,Z,15-Dec-2014,D6L-2NN9,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-3QNR,rluh-ITU,Z,15-Dec-2014,D6L-3QNR,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-237WC,rluh-ITU,Z,15-Dec-2014,D6L-237WC,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-237WH,rluh-ITU,Z,15-Dec-2014,D6L-237WH,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-1RTV,rluh-ITU,Z,15-Dec-2014,D6L-1RTV,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-693NC,rluh-ITU,Z,15-Dec-2014,D6L-693NC,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-693NH,rluh-ITU,Z,15-Dec-2014,D6L-693NH,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-5SMV,rluh-ITU,Z,15-Dec-2014,D6L-5SMV,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-VRJB,rluh-ITU,Z,15-Dec-2014,D6L-VRJB,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-VKDT,rluh-ITU,Z,15-Dec-2014,D6L-VKDT,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-K0GV,rluh-ITU,Z,15-Dec-2014,D6L-K0GV,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-JCD4C,rluh-ITU,Z,15-Dec-2014,D6L-JCD4C,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-JCD4H,rluh-ITU,Z,15-Dec-2014,D6L-JCD4H,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-J2VP,rluh-ITU,Z,15-Dec-2014,D6L-J2VP,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-DZH1,rluh-ITU,Z,15-Dec-2014,D6L-DZH1,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-H5L0,rluh-ITU,Z,15-Dec-2014,D6L-H5L0,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-HN7T,rluh-ITU,Z,15-Dec-2014,D6L-HN7T,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-GW3B,rluh-ITU,Z,17-Dec-2014,136353,07-Jan-2015,08-Jan-2015,6929277,6.79,Pseudomonas isolated,Z2
End,D6L-GCTHC,rluh-ITU,Z,15-Dec-2014,D6L-GCTHC,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-GCTHH,rluh-ITU,Z,15-Dec-2014,D6L-GCTHH,,,,,P.aeruginosa NOT isolated,Z2
End,01-AB,rluh-ITU,Z,15-Dec-2014,01-AB,,,,,P.aeruginosa NOT isolated,Z2
End,01-AA,rluh-ITU,Z,15-Dec-2014,01-AA,,,,,P.aeruginosa NOT isolated,Z2
End,D6L-F4KT,rluh-ITU,Z,15-Dec-2014,D6L-F4KT,,,,,P.aeruginosa NOT isolated,Z2
End,8B-102B,rluh-HDU,Z,15-Dec-2014,8B-102B,,,,,P.aeruginosa NOT isolated,Z2
End,8B-102A,rluh-HDU,Z,18-Dec-2014,136369,07-Jan-2015,08-Jan-2015,6929285,7.6,Pseudomonas isolated,Z2
End,8B-101B,rluh-HDU,Z,15-Dec-2014,8B-101B,,,,,P.aeruginosa NOT isolated,Z2
End,8B-101A,rluh-HDU,Z,15-Dec-2014,8B-101A,,,,,P.aeruginosa NOT isolated,Z2
End,CBN-27R0,rluh-HDU,Z,15-Dec-2014,CBN-27R0,,,,,P.aeruginosa NOT isolated,Z2
End,8B-095B,rluh-HDU,Z,15-Dec-2014,8B-095B,,,,,P.aeruginosa NOT isolated,Z2
End,8B-095A,rluh-HDU,Z,15-Dec-2014,8B-095A,,,,,P.aeruginosa NOT isolated,Z2
End,CBN-36XK,rluh-HDU,Z,15-Dec-2014,CBN-36XK,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-ZH2Q,rluh-HDU,Z,15-Dec-2014,CBM-ZH2Q,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-P8D5,rluh-HDU,Z,15-Dec-2014,CBM-P8D5,,,,,P.aeruginosa NOT isolated,Z2
End,8B-8061S,rluh-HDU,Z,15-Dec-2014,8B-8061S,,,,,P.aeruginosa NOT isolated,Z2
End,CBM-QKNL,rluh-HDU,Z,18-Dec-2014,136367,07-Jan-2015,08-Jan-2015,6929284,7.5,Pseudomonas isolated,Z2
End,8B-8061C,rluh-HDU,Z,15-Dec-2014,8B-8061C,,,,,P.aeruginosa NOT isolated,Z2
