SamplingPeriod,Assets,Locations,Hospitals,Date,Your reference number,Date isolate sent,Date isolate received (QEHB use only),Positive isolate ID (QEHB use only),Freezer box location,Test result,Users
End,12/236/2 WHB,12 East,X,10-Dec-2014,12/236/2 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/236 WHB,12 East,X,10-Dec-2014,12/236 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/236/1 WHB,12 East,X,10-Dec-2014,12/236/1 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/235/2 SHOWER,12 East,X,10-Dec-2014,12/235/2 SHOWER - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/235/2 WHB,12 East,X,10-Dec-2014,12/235/2 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/235 WHB,12 East,X,10-Dec-2014,12/235 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/235/1 WHB,12 East,X,10-Dec-2014,12/235/1 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/234 WHB,12 East,X,10-Dec-2014,12/234 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/233/1 SHOWER,12 East,X,10-Dec-2014,12/233/1 SHOWER - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/233/1 WHB,12 East,X,10-Dec-2014,12/233/1 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/233 WHB,12 East,X,10-Dec-2014,12/233 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/232/1 SHOWER,12 East,X,10-Dec-2014,12/232/1 SHOWER - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/232/1 WHB,12 East,X,10-Dec-2014,12/232/1 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/232 WHB,12 East,X,10-Dec-2014,12/232 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/143/1 SHOWER,12 North,X,10-Dec-2014,12/143/1 SHOWER - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/143/1 WHB,12 North,X,10-Dec-2014,12/143/1 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/143 WHB,12 North,X,10-Dec-2014,12/143 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/142/1 SHOWER,12 North,X,10-Dec-2014,12/142/1 SHOWER - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/142/1 WHB,12 North,X,10-Dec-2014,12/142/1 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/142 WHB,12 North,X,10-Dec-2014,12/142 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/140/1 SHOWER,12 North,X,10-Dec-2014,12/140/1 SHOWER - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/140/1 WHB,12 North,X,10-Dec-2014,12/140/1 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/140 WHB,12 North,X,10-Dec-2014,12/140 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/112 WHB,12 North,X,10-Dec-2014,12/112 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/144/1 WHB,12 North,X,10-Dec-2014,12/144/1 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/144 LEFT DOOR WHB,12 North,X,10-Dec-2014,12/144 LEFT DOOR WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/144 RIGHT DOOR WHB,12 North,X,10-Dec-2014,12/144 RIGHT DOOR WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,12/146/1 WHB,12 North,X,10-Dec-2014,12/146/1 WHB - 10.12.14,,,,,P.aeruginosa NOT isolated,X2
End,4/349 WHB,ITU 4 W/S,X,15-Dec-2014,90/58464,14-Jan-2015,15-Jan-2015,6929310,7.35,P.aeruginosa isolated,X2
End,11/447/1 SHOWER,11 West,X,12-Dec-2014,90/50865,14-Jan-2015,15-Jan-2015,6929308,7.34,P.aeruginosa isolated,X2
End,11/444 SHOWER,11 West,X,12-Dec-2014,90/50862,14-Jan-2015,15-Jan-2015,6929306,7.33,P.aeruginosa isolated,X2
End,11/443/2 SHOWER,11 West,X,12-Dec-2014,90/50859,14-Jan-2015,15-Jan-2015,6929295,7.32,P.aeruginosa isolated,X2
End,11/438 SHOWER,11 West,X,12-Dec-2014,90/50849,14-Jan-2015,15-Jan-2015,6929289,7.31,P.aeruginosa isolated,X2
End,11/433 WHB,11 West,X,12-Dec-2014,90/50842,14-Jan-2015,15-Jan-2015,6929304,7.3,P.aeruginosa isolated,X2
End,11/254/2 SHOWER,11 South,X,12-Dec-2014,90/45771,14-Jan-2015,15-Jan-2015,6929298,7.29,P.aeruginosa isolated,X2
End,11/254/2 WHB,11 South,X,12-Dec-2014,90/45770,14-Jan-2015,15-Jan-2015,6929294,7.28,P.aeruginosa isolated,X2
End,11/252/2 SHOWER,11 South,X,12-Dec-2014,90/45763,14-Jan-2015,15-Jan-2015,6929302,7.27,P.aeruginosa isolated,X2
End,11/340/2 SHOWER,11 South,X,12-Dec-2014,90/45749,14-Jan-2015,15-Jan-2015,6929299,7.26,P.aeruginosa isolated,X2
End,11/339/2 SHOWER,11 South,X,12-Dec-2014,90/45745,14-Jan-2015,15-Jan-2015,6929303,7.25,P.aeruginosa isolated,X2
End,11/337/2 SHOWER,11 South,X,12-Dec-2014,90/45735,14-Jan-2015,15-Jan-2015,6929296,7.24,P.aeruginosa isolated,X2
End,11/336/2 SHOWER,11 South,X,12-Dec-2014,90/45731,14-Jan-2015,15-Jan-2015,6929307,7.23,P.aeruginosa isolated,X2
End,11/328/2 SHOWER,11 South,X,12-Dec-2014,90/45715,14-Jan-2015,15-Jan-2015,6929305,7.22,P.aeruginosa isolated,X2
End,11/205 WHB,11 East,X,12-Dec-2014,90/50817,14-Jan-2015,15-Jan-2015,6929291,7.21,P.aeruginosa isolated,X2
End,11/227 SHOWER,11 East,X,12-Dec-2014,90/50794,14-Jan-2015,15-Jan-2015,6929297,7.2,P.aeruginosa isolated,X2
End,12/447 SHOWER,12 West,X,10-Dec-2014,90/45693,14-Jan-2015,15-Jan-2015,6929314,7.19,P.aeruginosa isolated,X2
End,12/444 SHOWER,12 West,X,10-Dec-2014,90/45690,14-Jan-2015,15-Jan-2015,6929313,7.18,P.aeruginosa isolated,X2
End,12/443 SHOWER,12 West,X,10-Dec-2014,90/45687,14-Jan-2015,15-Jan-2015,6929300,7.17,P.aeruginosa isolated,X2
End,12/440 SHOWER,12 West,X,10-Dec-2014,90/45672,14-Jan-2015,15-Jan-2015,6929311,7.16,P.aeruginosa isolated,X2
End,12/436 SHOWER,12 West,X,10-Dec-2014,90/45684,14-Jan-2015,15-Jan-2015,6929309,7.15,P.aeruginosa isolated,X2
End,12/435 WHB,12 West,X,10-Dec-2014,90/45668,14-Jan-2015,15-Jan-2015,6929315,7.36,P.aeruginosa isolated,X2
End,12/435 WHB,12 West,X,10-Dec-2014,90/45668,14-Jan-2015,15-Jan-2015,6929301,7.14,P.aeruginosa isolated,X2
End,12/430 SHOWER,12 West,X,10-Dec-2014,90/45678,14-Jan-2015,15-Jan-2015,6929312,7.13,P.aeruginosa isolated,X2
End,12/430 WHB,12 West,X,10-Dec-2014,90/45677,14-Jan-2015,15-Jan-2015,6929293,7.12,P.aeruginosa isolated,X2
End,12/429 SHOWER,12 West,X,10-Dec-2014,90/45675,14-Jan-2015,15-Jan-2015,6929292,7.11,P.aeruginosa isolated,X2
End,12/426 SHOWER,12 West,X,10-Dec-2014,88/61384,14-Jan-2015,15-Jan-2015,6929290,7.1,P.aeruginosa isolated,X2
End,58.2.038_Entrance sink_MT ,7HDU,Y,03-Dec-2014,BI1430771-12,,,,,P. aeruginosa NOT isolated,Y2
Middle,S58.0.114.1,BHH3,Y,21-Oct-2014,BI1426714-02,,,,,P. aeruginosa NOT isolated,Y2
End,S070-1-066_Visitor _W/C_WHB,GHHITU,Y,01-Dec-2014,BI1430717-11,05-Jan-2015,06-Jan-2015,6929244,6.48,P.aeruginosa isolated,Y2
End,S070-1-066_ Visitor_Shower,GHHITU,Y,01-Dec-2014,BI1430717-10,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-066_Visitor Shower_WHB,GHHITU,Y,01-Dec-2014,BI1430717-09,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-055_Lab_Sq_Sink_CT,GHHITU,Y,01-Dec-2014,BI1430717-08,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-055_Lab_Sq_Sink_HT,GHHITU,Y,01-Dec-2014,BI1430717-07,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-055_Lab_Sluice_HT,GHHITU,Y,01-Dec-2014,BI1430717-06,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-055_Lab_Sluice_CT,GHHITU,Y,01-Dec-2014,BI1430717-05,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-055_Lab_WHB,GHHITU,Y,01-Dec-2014,BI1403717-04,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-056_Kitchen_WHB,GHHITU,Y,01-Dec-2014,BI1430717-03,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-056_CL,GHHITU,Y,01-Dec-2014,BI1430717-02,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-056_HL,GHHITU,Y,01-Dec-2014,BI1430717-01,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-054,GHHITU,Y,01-Dec-2014,BI1430703-12,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-059_Utility Sluice_WHB,GHHITU,Y,01-Dec-2014,BI1430703-11,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-059_Utility_Sluice_CL,GHHITU,Y,01-Dec-2014,BI1430703-10,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-059_Utility_Sluice_HL,GHHITU,Y,01-Dec-2014,BI1430703-09,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-059_Utility_Sink_CL,GHHITU,Y,01-Dec-2014,BI1430703-08,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-059_Utility_Sink_HL,GHHITU,Y,01-Dec-2014,BI1430703-07,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-018,GHHITU,Y,01-Dec-2014,BI1430703-06,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-017,GHHITU,Y,01-Dec-2014,BI1430703-05,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-015,GHHITU,Y,01-Dec-2014,BI1430703-04,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-014,GHHITU,Y,01-Dec-2014,BI1430703-03,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-013_Sluice_WHB,GHHITU,Y,01-Dec-2014,BI1430703-02,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-013_Sluice_CT,GHHITU,Y,01-Dec-2014,BI1403703-01,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-013_Sluice_HT,GHHITU,Y,01-Dec-2014,BI1430723-12,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-013 _Sink_CT,GHHITU,Y,01-Dec-2014,BI1430723-11,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-013 _Sink_HT,GHHITU,Y,01-Dec-2014,BI1430723-10,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-012,GHHITU,Y,01-Dec-2014,BI1430723-09,05-Jan-2015,06-Jan-2015,6929243,6.47,P.aeruginosa isolated,Y2
End,S070-1-011,GHHITU,Y,01-Dec-2014,BI1430723-08,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-010,GHHITU,Y,01-Dec-2014,BI1430723-07,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-009,GHHITU,Y,01-Dec-2014,BI1430723-06,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-008,GHHITU,Y,01-Dec-2014,BI1430723-05,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-007,GHHITU,Y,01-Dec-2014,BI1430723-04,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-006,GHHITU,Y,01-Dec-2014,BI1430723-03,05-Jan-2015,06-Jan-2015,6929242,6.46,P.aeruginosa isolated,Y2
End,S070-1-005,GHHITU,Y,01-Dec-2014,BI1430723-02,,,,,P.aeruginosa NOT isolated,Y2
End,S070-1-004,GHHITU,Y,01-Dec-2014,BI1430723-01,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.017_WHB MT,BHH3,Y,08-Dec-2014,BI1431107-04,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.115,BHH3,Y,08-Dec-2014,BI1431107-03,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.108_nurse,BHH3,Y,08-Dec-2014,BI1431110-12,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.127_Hot,BHH3,Y,08-Dec-2014,BI1431110-11,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.127_Cold,BHH3,Y,08-Dec-2014,BI1431110-10,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.126_Hot,BHH3,Y,08-Dec-2014,BI1431110-09,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.126_Cold,BHH3,Y,08-Dec-2014,BI1431110-07,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.112_Hot,BHH3,Y,08-Dec-2014,BI1431110-08,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.112_Cold,BHH3,Y,08-Dec-2014,BI1431110-06,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.099,BHH3,Y,08-Dec-2014,BI1431110-05,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.100,BHH3,Y,08-Dec-2014,BI1431110-04,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.114.2_WHB,BHH3,Y,08-Dec-2014,BI1431110-03,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.114.2_Shower,BHH3,Y,08-Dec-2014,BI1431110-02,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.114.1,BHH3,Y,08-Dec-2014,BI1431110-01,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.108,BHH3,Y,08-Dec-2014,BI1431104-12,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.11.81,BHH3,Y,08-Dec-2014,BI1431104-11,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.123_cold,BHH3,Y,08-Dec-2014,BI1431104-10,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.123_hot,BHH3,Y,08-Dec-2014,BI1431104-09,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.123.1_Sluice_W3_Cold,BHH3,Y,08-Dec-2014,BI1431104-08,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.123.1_Sluice_W3_Hot,BHH3,Y,08-Dec-2014,BI1431104-07,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.123.1_Sluice_W3_Hot,BHH3,Y,08-Dec-2014,BI1431104-06,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.123.1_Sluice_W3_Cold,BHH3,Y,08-Dec-2014,BI1431104-05,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.110_Sink,BHH3,Y,08-Dec-2014,BI1431104-04,05-Jan-2015,06-Jan-2015,6929247,6.51,P.aeruginosa isolated,Y2
End,S58.0.110_WHB,BHH3,Y,08-Dec-2014,BI1431104-03,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.124.2_Shower_PF,BHH3,Y,08-Dec-2014,BI1431104-02,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.124.2_Shower_WHB,BHH3,Y,08-Dec-2014,BI1431103-12,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.124_WHB_MT,BHH3,Y,08-Dec-2014,BI1431104-01,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.124_LH,BHH3,Y,08-Dec-2014,BI1431103-11,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.124_RH,BHH3,Y,08-Dec-2014,BI1431103-10,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.111,BHH3,Y,08-Dec-2014,BI1431103-09,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.113,BHH3,Y,08-Dec-2014,BI1431103-08,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.130_Staff_LT Set,BHH3,Y,08-Dec-2014,BI1431103-07,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.124.1,BHH3,Y,08-Dec-2014,BI1431103-06,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.132_Drink,BHH3,Y,08-Dec-2014,BI1431103-05,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.132_Dish,BHH3,Y,08-Dec-2014,BI1431103-04,,,,,P.aeruginosa NOT isolated,Y2
End,S58.0.132_HT,BHH3,Y,08-Dec-2014,BI1431103-03,05-Jan-2015,06-Jan-2015,6929246,6.50,P.aeruginosa isolated,Y2
End,S58.0.132_CT,BHH3,Y,08-Dec-2014,BI1431103-02,05-Jan-2015,06-Jan-2015,6929245,6.49,P.aeruginosa isolated,Y2
End,S58.0.99,BHH3,Y,08-Dec-2014,BI1431103-01,,,,,P.aeruginosa NOT isolated,Y2
End,58.2.050_Sluice slop_CT,7HDU,Y,03-Dec-2014,BI1430771-11,,,,,P.aeruginosa NOT isolated,Y2
End,58.2.050_Sluice slop_HT,7HDU,Y,03-Dec-2014,BI1430771-06,,,,,P.aeruginosa NOT isolated,Y2
End,58.2.050_Sluice sink_CT,7HDU,Y,08-Dec-2014,BI1431107-01,,,,,P.aeruginosa NOT isolated,Y2
End,58.2.050_Sluice sink_HT,7HDU,Y,08-Dec-2014,BI1431107-02,,,,,P.aeruginosa NOT isolated,Y2
End,58.2.049,7HDU,Y,03-Dec-2014,BI1430771-05,,,,,P.aeruginosa NOT isolated,Y2
End,58.2.044_sluice,7HDU,Y,03-Dec-2014,BI1430771-10,,,,,P.aeruginosa NOT isolated,Y2
End,58.2.044_middle,7HDU,Y,03-Dec-2014,BI1430771-09,,,,,P.aeruginosa NOT isolated,Y2
End,58.2.047,7HDU,Y,03-Dec-2014,BI1430771-08,,,,,P.aeruginosa NOT isolated,Y2
End,58.2.044_cupboard,7HDU,Y,03-Dec-2014,BI1430771-07,,,,,P.aeruginosa NOT isolated,Y2
End,58.1.049_W/C_CT,4HDU,Y,03-Dec-2014,BI1430782-05,,,,,P.aeruginosa NOT isolated,Y2
End,58.1.048_SR2 WHB,4HDU,Y,03-Dec-2014,BI1430782-06,,,,,P.aeruginosa NOT isolated,Y2
End,58.1.046,4HDU,Y,03-Dec-2014,BI1430782-04,,,,,P.aeruginosa NOT isolated,Y2
End,58.1.038_NursesWHB,4HDU,Y,03-Dec-2014,BI1430782-03,,,,,P.aeruginosa NOT isolated,Y2
End,58.1.048 _SR1,4HDU,Y,03-Dec-2014,BI1430782-02,,,,,P.aeruginosa NOT isolated,Y2
End,58.1.038_CorridorWHB,4HDU,Y,03-Dec-2014,BI1430782-01,,,,,P.aeruginosa NOT isolated,Y2
End,39.1.088_Sluice2_Hand wash sink,BHHITU,Y,03-Dec-2014,BI1430771-04,,,,,P.aeruginosa NOT isolated,Y2
End,39.1.088_Sluice2 _Metal Sink_CT,BHHITU,Y,03-Dec-2014,BI1430771-03,,,,,P.aeruginosa NOT isolated,Y2
End,39.1.093_Sink _blood gas,BHHITU,Y,03-Dec-2014,B1430771-02,,,,,P.aeruginosa NOT isolated,Y2
End,WHB_SR3,BHHITU,Y,03-Dec-2014,BI430771-01,,,,,P.aeruginosa NOT isolated,Y2
End,WHB_SR2,BHHITU,Y,03-Dec-2014,BI1430754-12,,,,,P.aeruginosa NOT isolated,Y2
End,WHB_SR1,BHHITU,Y,03-Dec-2014,BI1430754-11,,,,,P.aeruginosa NOT isolated,Y2
End,WHB_right,BHHITU,Y,03-Dec-2014,BI1430754-10,,,,,P.aeruginosa NOT isolated,Y2
End,WHB_left,BHHITU,Y,03-Dec-2014,BI1430754-09,,,,,P.aeruginosa NOT isolated,Y2
End,HWB_9,BHHITU,Y,03-Dec-2014,BI1430754-08,,,,,P.aeruginosa NOT isolated,Y2
End,Sluice_Slop_CT,BHHITU,Y,03-Dec-2014,BI1430754-07,,,,,P.aeruginosa NOT isolated,Y2
End,Sluice_sink,BHHITU,Y,03-Dec-2014,BI1430754-06,,,,,P.aeruginosa NOT isolated,Y2
End,Kitchen_sink_square_HT,BHHITU,Y,03-Dec-2014,BI1430754-05,,,,,P.aeruginosa NOT isolated,Y2
End,Kitchen_sink_square_CT,BHHITU,Y,03-Dec-2014,BI1430754-04,,,,,P.aeruginosa NOT isolated,Y2
End,Kitchen_sink_round_CT,BHHITU,Y,03-Dec-2014,BI1430754-03,,,,,P.aeruginosa NOT isolated,Y2
End,nurse_station_RT,BHHITU,Y,03-Dec-2014,BI1430754-02,,,,,P.aeruginosa NOT isolated,Y2
End,nurse_station_LT,BHHITU,Y,03-Dec-2014,BI1430754-01,,,,,P.aeruginosa NOT isolated,Y2
Beginning,11/341/1 WHB,11 South,X,01-Sep-2014,86/45358,11-Dec-2014,11-Dec-2014,6929156,6.40,P. aeruginosa isolated,X2
Middle,4/332/1 WHB CORRIDOR,ITU 4 W/S,X,29-Oct-2014,4/332/1 WHB CORRIDOR-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/329 WHB,ITU 4 W/S,X,29-Oct-2014,4/329 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/332 WHB,ITU 4 W/S,X,29-Oct-2014,4/332 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/345 WHB,ITU 4 W/S,X,29-Oct-2014,4/345 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/349 WHB,ITU 4 W/S,X,29-Oct-2014,4/349 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/351 WHB,ITU 4 W/S,X,29-Oct-2014,4/351 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/355 WHB,ITU 4 W/S,X,29-Oct-2014,4/355 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/365 WHB,ITU 4 W/S,X,29-Oct-2014,4/365 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/367 WHB,ITU 4 W/S,X,29-Oct-2014,4/367 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/377 WHB,ITU 4 W/S,X,29-Oct-2014,4/377 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/379 WHB,ITU 4 W/S,X,29-Oct-2014,4/379 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/425 WHB,ITU 4 W/S,X,29-Oct-2014,4/425 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/428 WHB,ITU 4 W/S,X,29-Oct-2014,4/428 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/431 WHB,ITU 4 W/S,X,29-Oct-2014,4/431 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/431/1 WHB CORRIDOR,ITU 4 W/S,X,29-Oct-2014,4/431/1 WHB CORRIDOR-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/439 WHB,ITU 4 W/S,X,29-Oct-2014,4/439 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/441 WHB,ITU 4 W/S,X,29-Oct-2014,4/441 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/444 WHB,ITU 4 W/S,X,29-Oct-2014,4/444 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/447 WHB,ITU 4 W/S,X,29-Oct-2014,4/447 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/451 WHB,ITU 4 W/S,X,29-Oct-2014,4/451 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/454 WHB,ITU 4 W/S,X,29-Oct-2014,4/454 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/457 WHB,ITU 4 W/S,X,29-Oct-2014,4/457 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/460 WHB,ITU 4 W/S,X,29-Oct-2014,4/460 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/462 WHB,ITU 4 W/S,X,29-Oct-2014,4/462 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/465 WHB,ITU 4 W/S,X,29-Oct-2014,4/465 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/468 WHB,ITU 4 W/S,X,29-Oct-2014,4/468 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/471 WHB,ITU 4 W/S,X,29-Oct-2014,4/471 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/239 WHB,ITU 4E,X,30-Oct-2014,4/239 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/238 WHB,ITU 4E,X,30-Oct-2014,4/238 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/237 WHB,ITU 4E,X,30-Oct-2014,4/237 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/236 WHB,ITU 4E,X,30-Oct-2014,4/236 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/235 WHB,ITU 4E,X,30-Oct-2014,4/235 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/234 WHB,ITU 4E,X,30-Oct-2014,4/234 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/232 WHB,ITU 4E,X,30-Oct-2014,4/232 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/231 WHB,ITU 4E,X,30-Oct-2014,4/231 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/230 WHB,ITU 4E,X,30-Oct-2014,4/230 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/229 WHB,ITU 4E,X,30-Oct-2014,4/229 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/225 WHB,ITU 4E,X,30-Oct-2014,4/225 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/224 WHB,ITU 4E,X,30-Oct-2014,4/224 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/223 WHB,ITU 4E,X,30-Oct-2014,4/223 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/222 WHB,ITU 4E,X,30-Oct-2014,4/222 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/221 WHB,ITU 4E,X,30-Oct-2014,4/221 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,4/220 WHB,ITU 4E,X,30-Oct-2014,4/220 WHB-30.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,11/424 WHB,11 West,X,29-Oct-2014,11/424 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,11/412 WHB,11 West,X,29-Oct-2014,11/412 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,11/406 SHOWER,11 West,X,29-Oct-2014,11/406 SHOWER-29.10.14,,,,,P.aeruginosa NOT isolated,X2
Middle,11/405 WHB,11 West,X,29-Oct-2014,11/405 WHB-29.10.14,,,,,P.aeruginosa NOT isolated,X2
